Game Date,Start Time,Diamond,Division,Home Team,Visiting Team
11/06/2014,8:00 PM,NORTH,B Division,Tony Graham Bears,KSC Sportsmen
11/06/2014,9:30 PM,SOUTH,C Division,AAAKavtech,Longshots
11/06/2014,9:30 PM,NORTH,B Division,Bridlewood Bandits,KSC Sportsmen
16/06/2014,6:30 PM,NORTH,A Division,Slime,Instile Tile
16/06/2014,8:00 PM,NORTH,C Division,AAAKavtech,Make it Green Legends
16/06/2014,9:30 PM,NORTH,C Division,Longshots,A&B Sports
17/06/2014,6:30 PM,NORTH,B Division,KSC Sportsmen,7th Inning Stretchers
17/06/2014,6:30 PM,SOUTH,C Division,Kanata Krushers,Frisby Retreads
17/06/2014,8:00 PM,NORTH,,,
17/06/2014,8:00 PM,SOUTH,A Division,Braves,Slime
17/06/2014,9:30 PM,NORTH,B Division,RBC Lions,Mattawa
17/06/2014,9:30 PM,SOUTH,B Division,The Colts,Ironwood
18/06/2014,6:30 PM,NORTH,B Division,Brown's Martial Arts,Tony Graham Bears
18/06/2014,6:30 PM,SOUTH,A Division,Dawg Pound,Willy's Pizza
18/06/2014,8:00 PM,NORTH,C Division,Prime Time,Mark's Mustangs
18/06/2014,8:00 PM,SOUTH,A Division,Brew Crew,Braves
18/06/2014,9:30 PM,SOUTH,A Division,ON Canadians,Go Dean Express
18/06/2014,9:30 PM,NORTH,A Division,Brew Crew,Dawg Pound
23/06/2014,6:30 PM,NORTH,A Division,Slime,Willy's Pizza
23/06/2014,8:00 PM,NORTH,B Division,7th Inning Stretchers,Bridlewood Bandits
23/06/2014,9:30 PM,NORTH,A Division,Dawg Pound,Braves
24/06/2014,6:30 PM,NORTH,B Division,Ironwood,Bridlewood Bandits
24/06/2014,6:30 PM,SOUTH,C Division,Longshots,Frisby Retreads
24/06/2014,8:00 PM,NORTH,C Division,AAAKavtech,A&B Sports
24/06/2014,8:00 PM,SOUTH,A Division,ON Canadians,Instile Tile
24/06/2014,9:30 PM,NORTH,C Division,Frisby Retreads,AAAKavtech
24/06/2014,9:30 PM,SOUTH,A Division,Instile Tile,Go Dean Express
25/06/2014,6:30 PM,SOUTH,A Division,Go Dean Express,Brew Crew
25/06/2014,6:30 PM,NORTH,C Division,Kanata Krushers,Mark's Mustangs
25/06/2014,8:00 PM,SOUTH,B Division,Mattawa,The Colts
25/06/2014,8:00 PM,NORTH,B Division,Tony Graham Bears,RBC Lions
25/06/2014,9:30 PM,SOUTH,B Division,Ironwood,KSC Sportsmen
25/06/2014,9:30 PM,NORTH,C Division,Make it Green Legends,Prime Time
30/06/2014,6:30 PM,NORTH,,,
30/06/2014,8:00 PM,NORTH,,,
30/06/2014,9:30 PM,NORTH,,,
01/07/2014,6:30 PM,NORTH,,,
01/07/2014,6:30 PM,SOUTH,,,
01/07/2014,8:00 PM,NORTH,,,
01/07/2014,8:00 PM,SOUTH,,,
01/07/2014,9:30 PM,SOUTH,,,
01/07/2014,9:30 PM,NORTH,,,
02/07/2014,6:30 PM,SOUTH,B Division,KSC Sportsmen,Mattawa
02/07/2014,6:30 PM,NORTH,C Division,A&B Sports,Make it Green Legends
02/07/2014,8:00 PM,NORTH,B Division,Brown's Martial Arts,RBC Lions
02/07/2014,8:00 PM,SOUTH,B Division,Bridlewood Bandits,Ironwood
02/07/2014,9:30 PM,SOUTH,C Division,Mark's Mustangs,Longshots
02/07/2014,9:30 PM,NORTH,B Division,The Colts,Tony Graham Bears
07/07/2014,6:30 PM,NORTH,B Division,7th Inning Stretchers,Ironwood
07/07/2014,8:00 PM,NORTH,A Division,Slime,Brew Crew
07/07/2014,9:30 PM,NORTH,A Division,ON Canadians,Braves
08/07/2014,6:30 PM,NORTH,A Division,Go Dean Express,Dawg Pound
08/07/2014,6:30 PM,SOUTH,C Division,Prime Time,Kanata Krushers
08/07/2014,8:00 PM,NORTH,C Division,A&B Sports,Frisby Retreads
08/07/2014,8:00 PM,SOUTH,B Division,KSC Sportsmen,Tony Graham Bears
08/07/2014,9:30 PM,NORTH,C Division,AAAKavtech,Mark's Mustangs
08/07/2014,9:30 PM,SOUTH,B Division,Bridlewood Bandits,Mattawa
09/07/2014,6:30 PM,SOUTH,C Division,Longshots,Prime Time
09/07/2014,6:30 PM,NORTH,A Division,Instile Tile,Willy's Pizza
09/07/2014,8:00 PM,NORTH,A Division,Willy's Pizza,ON Canadians
09/07/2014,8:00 PM,SOUTH,B Division,RBC Lions,Brown's Martial Arts
